date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,Hour,Month,PowerFactorRatio,HighLoad
2018-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,100.0,900,Weekday,Monday,Light_Load,0,January,0.7321,0
2018-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,100.0,1800,Weekday,Monday,Light_Load,0,January,0.6677,0
2018-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,100.0,2700,Weekday,Monday,Light_Load,0,January,0.7028,0
2018-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,100.0,3600,Weekday,Monday,Light_Load,1,January,0.6809000000000001,0
2018-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,100.0,4500,Weekday,Monday,Light_Load,1,January,0.6472,0
2018-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,100.0,5400,Weekday,Monday,Light_Load,1,January,0.6776000000000001,0
2018-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,100.0,6300,Weekday,Monday,Light_Load,1,January,0.6562,0
2018-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,100.0,7200,Weekday,Monday,Light_Load,2,January,0.6437,0
2018-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,100.0,8100,Weekday,Monday,Light_Load,2,January,0.6694,0
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,9000,Weekday,Monday,Light_Load,2,January,0.6251,0
2018-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,100.0,9900,Weekday,Monday,Light_Load,2,January,0.6514,0
2018-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,100.0,10800,Weekday,Monday,Light_Load,3,January,0.6648999999999999,0
2018-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,100.0,11700,Weekday,Monday,Light_Load,3,January,0.6232,0
2018-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,100.0,12600,Weekday,Monday,Light_Load,3,January,0.6627,0
